Control Code,Control Name,Control Description,Control Question,Control Activities,Control Owners,Template Required,Is Ready,SOC 2 2017
DCF-134,3rd Parties and Vendors Given Instructions on Breach Reporting,Nexelus provides vendors and third parties with information on how to report breaches to Nexelus.,Does the organization provide vendors with information on how to report breaches?,,Tao/Arif N,Yes,Ready,P6.5
DCF-116,Accept The Privacy Policy,Nexelus's users are required to explicitly accept the notice of privacy practices prior to entering information into the application.,Does the organization require users to accept its privacy practices prior to entering information into the application?,Privacy Policy,All employees,Yes,Not Ready,"P2.1, P3.2, P6.1"
DCF-37,Acceptable Use Policy,"Nexelus has policies and procedures in place to establish acceptable use of information assets approved by management, posted on the company wiki, and accessible to all employees. All employees must accept the Acceptable Use Policy upon hire.","Does the organization define acceptable and unacceptable rules of behavior for the use of technologies, including consequences for unacceptable behavior?",,Tauseef,Policy,Ready,"CC1.1, CC1.5, CC2.2"
DCF-63,Accepting The Terms of Service,External users must accept the Terms of Service prior to their account being created.,Does the organization enforce that new users accept the terms of service prior to utilizing the software?,,All employees,Yes,Not Ready,"CC6.2, CC6.3"
DCF-119,Allowable Use and Disclosure,Nexelus maintains policies and procedures that define allowable use and disclosure scenarios.,Does the organization define controls related to allowable use and disclosure scenarios?,,Tauseef,Policy,Not Ready,P4.1
DCF-11,Annual Access Control Review,Nexelus performs annual access control reviews.,Does the organization enforce the use of human reviews for Access Control Lists (ACLs) and similar rulesets on a routine basis?,"Review access control annually, and maintain a record.",NSS Team,ACL List,Ready,"CC6.4, CC6.3, CC6.2, CC4.1"
DCF-154,Annual Incident Response Test,Nexelus ensures that incident response plan testing is performed on an annual basis.,Does the organization incorporate simulated events into incident response training to facilitate effective response by personnel in crisis situations?,"1. Run a test of the incident response plan
2. Store results, including lessons learned and root cause analysis
3. Review findings and take necessary action in a timely manner",NSS Team,Test List and Audit Report,Ready,CC7.5
DCF-19,Annual Penetration Tests,Nexelus engages with third-party to conduct penetration tests of the production environment at least annually. Results are reviewed by management and high priority findings are tracked to resolution.,Does the organization perform application-level penetration testing of custom-made applications and services?,Conduct independent 3rd party penetration testing on systems and web applications.,NSS Team,Pen Test Report,Ready,"CC7.1, CC1.2, CC3.1, CC3.4, CC4.1, CC4.2, CC5.1, CC5.2"
DCF-38,Annual Performance Evaluations,"Nexelus evaluates the performance of all employees through a formal, annual performance evaluation.",Does the organization follow a process for periodically evaluating the performance of its employees?,,"Arshad Sadal / 
Imran Rahman",Performance Criteria Format,Not Ready,"CC1.5, CC1.4"
DCF-120,Annual Review of Purposes,Nexelus's management reviews privacy policies and procedures annually to ensure that personal information is used in conformity with the purposes identified in the privacy notice.,Does the organization review its privacy policies and procedures annually?,,"NSS Team
Imran Rahman",,Not Ready,P4.1
DCF-16,Annual Risk Assessment,Nexelus conducts a Risk Assessment at least annually.,"Does the organization conduct an annual assessment of risk that includes the likelihood and magnitude of harm, from unauthorized access, use, disclosure, disruption, modification or destruction of the organization's systems and data?","1. Conduct risk assessment at least annually
2. Review results of risk assessments
3. Link identified risks to controls and plan for new controls
4. Review and implement risk remediation plan",NSS Team,Risk Audit Template,Ready,"CC5.1, CC5.2, CC4.1, CC3.4, CC3.3, CC3.2, CC4.2, CC3.1, CC2.1, CC1.2"
DCF-110,Application Edits,Nexelus's application edits limit input to acceptable value ranges,Does the organization limit input forms within the application to acceptable value ranges?,,"QA to Verify
Dev to Implement",,Not Ready,"PI1.2, PI1.1"
DCF-21,Architectural Diagram,Nexelus maintains an accurate architectural diagram to document system boundaries to support the functioning of internal control.,Does the organization maintain network architectural diagrams that: (a) contain sufficient detail to assess the security of the network's architecture; (b) reflect the current state of the network environment; and (c) document all sensitive data flows?,,"Arshad Sadal / 
Imran Rahman",,Ready,CC2.1
DCF-182,Asset Management Policy,Nexelus has a defined policy that establishes requirements for the proper management and tracking of organizational assets.,"Does the organization have a policy for the proper management and tracking of asset under its ownership, management, or control?","1. Develop and implement an asset management policy that outlines the processes necessary to maintain and protect assets under the company's direct control
2. Develop standards for asset inventory, ownership, and retirement
3. Develop standards for system hardening, capacity management, and management of media","NSS Lead
HR
Network Admin",,Ready,"CC2.1, CC6.1"
DCF-58,Authentication Protocol,"Username and password (password standard implemented) or SSO required to authenticate into application, MFA optional for external users, and MFA required for employee users.","Does the organization enforce an authentication protocol with regard to passwords, usernames, MFA?",,"Peter
Shafiq",,Ready,"C1.1, CC6.1, CC6.6"
DCF-97,Auto-Scale Configuration,Nexelus  automatically provisions new server instances when predefined capacity thresholds are met.,Does the organization automatically provision new server instances when predefined capacity thresholds are met?,,Peter,,Not Ready,A1.1
DCF-39,Background Checks,Nexelus's new hires are required to pass a background check as a condition of their employment.,Does the organization manage personnel security risk by screening individuals prior to authorizing access?,,"Arshad Sadal 
HR",,Ready,"CC1.1, CC1.4"
DCF-100,Backup Integrity and Completeness,Nexelus tests the integrity and completeness of back-up information on an annual basis.,"Does the organization routinely test backups that verifies the reliability of the backup process, as well as the integrity and availability of the data?",,"Shafiq
Peter",,Ready,A1.3
DCF-169,Backup Policy,"Nexelus has a defined backup policy that establishes the requirements for backup information, software and systems.","Does the organization have an established backup plan to ensure the confidentiality, integrity, and availability of information?","1. Establish and maintain a backup policy that defines information retention and protection requirements
2. Ensure backup records are accurate and complete
3. Adjust frequency of backups as appropriate to organization and security requirements
4. Store backups in a remote location and provide appropriate physical and environmental protection to the backup site
5. Regularly test the reliability and availability of backups in preparation for emergencies",Tauseef,,Ready,"A1.2, CC9.1"
DCF-26,BCP/DR Tests Conducted Annually,Nexelus conducts annual BCP/DR tests and documents according to the BCDR Plan.,Does the organization conduct tests and/or exercises to determine the contingency plan's effectiveness and the organization’s readiness to execute the plan?,,NSS Team,,Ready,"A1.2, A1.3, CC5.3, CC9.1, P4.2"
DCF-144,Board Charter Documented,The company's board of directors has a documented charter that outlines its oversight responsibilities for internal control.,Does the organization have a documented charter that outlines oversight responsibilities for internal control?,"Create, or ensure that there is, a documented charter outlining the board of director's oversight responsibilities for internal control","Tauseef
Imran Rahman",,Not Ready,CC1.2
DCF-145,Board Expertise Developed,"The company's board members have sufficient expertise to oversee management's ability to design, implement and operate information security controls. The board engages third-party information security experts and consultants as needed.","Does the organization have sufficient board expertise to oversee management's ability to design, implement, and operate information security controls?","1. Maintain a record of each board member's expertise sufficient for overseeing management's information security control abilities 
2. Maintain a record of the board's engagement with third-party information security experts and consultants",NSS Lead,Resource Competency Matrix,Ready,CC1.2
DCF-146,Board Meetings Conducted,The company's board of directors meets at least annually and maintains formal meeting minutes. The board includes directors that are independent of the company.,Does the organization conduct board meetings and maintain board minutes?,"1. Ensure that the board meets annually (including directors independent from the company)
2. Maintain a record of the formal meeting minutes",NSS Lead,Minutes of Meeting,Ready,CC1.2
DCF-143,Board Oversight Briefings Conducted,The company's board of directors or a relevant subcommittee is briefed by senior management at least annually on the state of the company's cybersecurity and privacy risk. The board provides feedback and direction to management as needed.,Does the organization conduct board oversight briefings annually to provide an update of the company's cybersecurity and privacy risk?,"1. Review of internal risk assessment
2. Review of findings from vulnerability scans
3. Review of external 3rd party penetration tests",NSS Lead,Minutes of Meeting,Not Ready,CC1.2
DCF-166,Business Continuity Plan,"Nexelus has a defined Business Continuity Plan that outlines the proper procedures to respond, recover, resume, and restore operations following a disruption.","Does the organization have a defined Business Continuity Plan that outlines the proper procedures to respond, recover, resume, and restore operations following a disruption?","1. Establish, document, and implement procedures to ensure continuity of information security during an adverse situation
2. Ensure a proper management structure in place
3. Ensure incident response personnel have the necessary authority and competence to manage adverse situations
4. Document plans and procedures for the management of adverse or disruptive events and maintenance of information security
5. Document processes and procedures for maintenance of security controls, or compensating controls for controls that cannot be maintained during an adverse event",Tauseef,,Ready,"CC9.1, CC7.5, CC5.3"
DCF-106,Clean Desk Policy in Place,Nexelus has a clean desk policy in place to ensure that documents containing sensitive data are not in public areas or laying on unattended employee work areas,Does the organization have a clean desk policy?,"1. Ensure a clean desk policy or procedure is in place 
2. Ensure personnel follow the procedure",Tauseef,,Ready,C1.1
DCF-75,Cloud Data Storage Restricted,Read/Write access to cloud data storage is configured to restrict public access.,Does the organization restrict public access to its cloud data storage?,,"Peter
",,Not Ready,CC6.6
DCF-89,Cloud Infrastructure Linked to Drata,Nexelus is using Drata to monitor the security and compliance of its cloud infrastructure configuration,Does the organization utilize software to monitor its infrastructure security controls?,,Tao,Ready,Not Ready,CC7.2
DCF-155,Code Changes are Tested,Nexelus ensures that code changes are tested prior to implementation to ensure quality and security.,Does the organization test code changes prior to implementation in order to ensure quality and security?,1. Code changes go through a QA (Quality Assurance) phase prior to being shipped to production,Dev Team,,Ready,CC8.1
DCF-44,Code of Conduct,Nexelus has a formal Code of Conduct approved by management and accessible to all employees. All employees must accept the Code of Conduct upon hire.,Does the organization have a formal code of conduct that is accessible by all personnel?,,Tauseef,Ready,Ready,"CC1.1, CC1.4, CC1.5, CC2.2, CC5.3"
DCF-5,Code Review Process,"When Nexelus's application code changes, code reviews and tests are performed by someone other than the person who made the code change.",Does the organization enforce a two-person rule for implementing changes to critical assets?,Ensure code changes are reviewed by someone other than the person who made the change.,Dev Lead,,Ready,"CC8.1, CC7.1"
DCF-64,Commitments Explained to Customers,"Nexelus's security commitments are communicated to external users, as appropriate.",Does the organization communicate its security commitments to external users?,,Tao / Arif N / Asim,Checklist,Not Ready,CC2.3
DCF-127,Communication to 3rd Parties,Nexelus's privacy policies or other specific instructions or requirements for handling personal information are communicated to third parties to whom personal information is disclosed.,Does the organization have policies for handling personal information and are they communicated to third parties?,,Tao / Arif N / Asim,Checklist,Ready,P6.1
DCF-153,Conduct Control Self-Assessments,Nexelus performs control self-assessments at least annually to gain assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings.,Does the organization provide a security controls oversight function?,"1. Conduct annual self-assessment of controls
2. Take corrective action based on findings",NSS Team,Template Required,Not Ready,CC2.1
DCF-138,Confirmation Before Submission,"As personal information is collected, users are asked to confirm that their information is correct prior to submitting the information to Nexelus.",Does the organization ask to confirm if personal information being input is correct prior to submitting forms?,,,,Not Ready,P7.1
DCF-139,Contact Information for Privacy Concerns,"Nexelus informs users about how to contact Nexelus with inquiries, complaints, and disputes via the privacy practices that are posted on the Nexelus's public-facing website.","Does the organization inform its users about to contact how the company with inquiries, complaints, and disputes via the privacy practices?",,,,Not Ready,P8.1
DCF-160,Continuous Control Monitoring,"Nexelus conducts continuous monitoring of security controls using Drata, and addresses issues in a timely manner.",Does the organization have a process in place for the continuous monitoring of security controls in place and the timely addressing of issues?,"1. Use Drata to continuously monitor security controls
2. Remediate control issues alerted by Drata in a timely manner",NSS Team,,Ready,"CC2.1, CC2.2, CC5.1, CC5.2, CC7.1"
DCF-40,Contractor Requirements,"Nexelus requires its contractors to read and accept the Code of Conduct, read and accept the Acceptable Use Policy, and pass a background check.","Does the organization define acceptable and unacceptable rules of behavior for the use of technologies, including consequences for unacceptable behavior?",,"HR
Admin",,Ready,"CC1.1, CC1.4"
DCF-93,Credential Keys Managed,Nexelus has an established key management process in place to support the organization's use of cryptographic techniques.,Does the organization have an established key management process?,,"Peter
Asim",,Ready,CC6.1
DCF-76,Critical Change Management,"Nexelus authorizes designated member(s) with the autonomy to validate, change, and release critical security patches and bug fixes, outside of the standard change management process, when absolutely necessary to ensure security standards and availability of the systems.","Does the organization have a process in place to allow critical changes outside of the standard change management process, to ensure security standards and system availability?","1. Designate authorized member(s)
2. Authorized member(s) can change and release critical security patches and bug fixes","Peter for OS Security Pataches
Dev Lead for Change Management",Policy,Ready,"A1.1, A1.3"
DCF-53,Cryptography Policies,Nexelus has an established policy and procedures that governs the use of cryptographic controls.,Does the organization facilitate the implementation of cryptographic protections controls using known public standards and trusted cryptographic technologies?,,"Tauseef
Asim
Dev Lead","Policy and 
Proof of implementation",Ready,"CC2.1, CC5.2"
DCF-103,Customer Data Deletion Upon Termination,Nexelus deletes customer data within 30 days of the customer terminating its contract.,Does the organization have controls in place to delete customer data upon termination of their contract?,,,,Not Ready,C1.2
DCF-54,Customer Data is Encrypted at Rest,Nexelus stores customer data in databases that is encrypted at rest.,Does the organization ensure the hard disks of database servers are encrypted using Full Disk Encryption (FDE)?,"All databases containing sensitive data utilize a cryptographic mechanism to prevent the unauthorized disclosure of information in the database (e.g., column-level, Transparent Data Encryption (TDE), etc.)","Peter
Arif K",,Ready,"CC6.1, CC6.7, PI1.5"
DCF-1,Customer Data Policies,Nexelus Management has approved all policies that detail how customer data may be made accessible and should be handled. These policies are accessible to all employees and contractors.,Does the organization maintain policies that detail how customer data may be made accessible and should be handled?,"Maintain policies detailing how customer data is handled.
Ensure policies are accessible to all employees.",Tauseef,,Ready,"CC2.1, CC5.2"
DCF-61,Customer Data Segregation,Nexelus's customer data is segregated from the data of other customers,Does the organization segregate one customer's data from all other customer data?,,"ArifK
Asim",,Ready,"C1.1, CC6.7, P4.2"
DCF-141,Customer Inquiries Tracked,"Nexelus has a process for tracking users' inquiries, complaints, and disputes within the incident tracking system.","Does the organization have a process for tracking users' inquiries, complaints, and disputes?",,Support (Tao / Anees),Jira,Not Ready,P8.1
DCF-140,Customer Portal,"Data subjects can submit inquiries, complaints, and disputes via the customer portal.","Does the organization provide a portal for data subjects to submit inquiries, complaints, and disputes?",,Support (Tao / Anees),Through email,Not Ready,P8.1
DCF-74,Customers Informed of Changes,"Nexelus communicates system changes to customers that may affect security, availability, processing integrity, or confidentiality.","Does the organization effectively communicate changes to the system that may affect security, confidentiality, availability, or processing integrity?",,Arif N / Asim /Tao,Through Release Notes,Not Ready,CC2.3
DCF-157,Cybersecurity Insurance Maintained,Nexelus maintains cybersecurity insurance to mitigate the financial impact of business disruptions.,Does the organization have insurance in place to mitigate the financial impact of potential business disruptions?,1. Cybersecurity insurance policy maintained by management,,,Not Ready,CC9.1
